 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
파일드라이버	물리	강철			150	100	단일	±0	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	17
파일벙커	물리	강철			50	100	단일	±0	○	반드시 급소에 맞는다．		확정급소			공격	방어	17
헤비봄버	물리	강철			120	100	단일	±0	○	자신과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			방어	방어	17
헤비불릿	물리	강철			90	100	단일	＋2	○	「탄/볼」 기술．「필드에 나온 후 최초」가 아니면 실패한다．	탄/볼	최초			공격	방어	17
휠스핀	물리	강철			100	100	단일	±0	○	명중 후，자신의 「속도－2」					공격	방어	17
고양이밥	변화	페어리			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	18
고양이질주	물리	페어리			80	－	단일	±0	×	「고양이」 기술．상대의 「방어」 기술을 관통한다．	고양이	방어관통 필중			공격	방어	18
고양이킥	물리	페어리			120	70	단일	±0	○	「고양이」 기술．「킥」 기술．	고양이 킥				공격	방어	18
고양이펀치	물리	페어리			25	85	단일	±0	○	「고양이」 기술．「펀치」 기술．2～5회 「연속」 기술．	고양이 펀치	연속			공격	방어	18
꿈의끝	물리	페어리			180	－	단일	－3	○	명중 후，상대의 「잠듦」 상태를 치유한다．상대가 「잠듦」 상태가 아니면 실패한다．		필중			공격	방어	18
내숭떨기	특수	페어리			70	100	단일	－3	×	상대의 「방어」 기술을 관통한다．		방어관통			특공	특방	18
달빛	변화	페어리			－	－	자신	±0	×	HP를 회복한다．날씨에 따라 회복량이 변화한다．（1/4，1/2，2/3）		회복			－	－	18
데코레이션	변화	페어리			－	－	아군	±0	×	 「공격/특공＋2」				더블배틀	－	－	18
독사과	변화	페어리			－	100	단일	＋1	×	상대를 「독」 상태로 한다．					－	－	18
드레인댄스	특수	페어리			50	100	단일	±0	○	「유턴」 기술．준 대미지의 3/4만큼 HP를 회복한다．		드레인	유턴		특공	특방	18
드레인키스	특수	페어리			50	100	단일	±0	○	준 대미지의 3/4만큼 HP를 회복한다．		드레인			특공	특방	18
마법의검	물리	페어리			90	100	단일	±0	○	「마법」 기술．「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	마법 칼/검				공격	방어	18
마법의창	물리	페어리			100	90	단일	±0	×	「마법」 기술．「창」 기술．급소에 맞기 쉽다（C＋1）．	마법 창				공격	방어	18
마법의화살	특수	페어리			100	－	단일	－3	×	「마법」 기술．「화살」 기술．	마법 화살	필중			특공	특방	18
매지컬샤인	특수	페어리			80	100	전체	±0	×	「마법」 기술．	마법				특공	특방	18
문포스	특수	페어리			95	100	단일	±0	×	「3할：특공－1」					특공	특방	18
미스트버스트	특수	페어리			100	100	전체	±0	×	자신을 「빈사」 상태로 하고，상대의 「방어」 능력치를 반감해서 대미지를 계산한다．전체 필드가 「미스트필드」 상태일 때，위력이 강화（1.5배）된다．	자폭				특공	특방	18
미스트필드	변화	페어리			－	－	필드	±0	×	5T 동안 전체 필드를 「미스트필드」 상태로 한다．	필드				－	－	18
백렬육구	물리	페어리			25	85	단일	＋3	○	「고양이」 기술．2～5회 「연속」 기술．「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」	고양이	최초			공격	방어	18
봄의폭풍	특수	페어리			100	80	전체	±0	×	「바람」 기술．「10할：공격－1」	바람				특공	특방	18
빛의칼	물리	페어리			100	100	단일	±0	×	「칼/검」 기술．날씨가 「쾌청（큰가뭄）」일 때， 위력이 강화（1.5배）된다．	칼/검				공격	방어	18
소울크래시	물리	페어리			75	100	단일	±0	○	「10할：특공－1」					공격	방어	18
아로마미스트	변화	페어리			－	－	자신	±0	×	 「특방＋1」					－	－	18
아양떨기	변화	페어리			－	100	단일	±0	×	상대를 「혼란」 상태로 하고，상대의 「속도＋2」					－	－	18
애교부리기	변화	페어리			－	100	단일	±0	×	 「공격－2」					－	－	18
어린애속이기	특수	페어리			40	100	단일	＋3	×	「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」		최초			특공	특방	18
역광의칼	물리	페어리			150	100	단일	－7	○	「칼/검」 기술．「추격」 기술．	칼/검		추격		공격	방어	18
올려다보기	변화	페어리			－	100	단일	－1	×	「명중－2」					－	－	18
요술방망이	물리	페어리			50	－	단일	±0	×	명중 후，상대의 「능력변화」를 「초기화」한다．		초기화 필중			공격	방어	18
요정의노래	특수	페어리			100	100	단일	±0	×	「소리」 기술．	소리				특공	특방	18
요정의바람	특수	페어리			40	100	단일	±0	×	「바람」 기술．	바람				특공	특방	18
요정포	특수	페어리			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	18
원더스팀	특수	페어리			90	95	단일	±0	×	「2할：혼란」					특공	특방	18
월면붕락	특수	페어리			200	100	전체	＋2	×	상대의 〔방호 특성〕을 관통한다．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）		특성관통			특공	특방	18
유리구두	변화	페어리			－	－	자신	±0	×	다음 T，자신의 기술의 우선도를 ＋1한다．					－	－	18
자연의분노	특수	페어리			－	90	단일	±0	×	상대에게 현재 HP의 1/2만큼 고정 대미지를 준다．		고정피해			－	－	18
지오컨트롤	변화	페어리			－	－	자신	±0	×	「모으기」 기술．「특공/특방/속도＋2」	모으기				－	－	18
차밍보이스	특수	페어리			40	－	단일	±0	×	「소리」 기술．	소리	필중			특공	특방	18
천사의키스	변화	페어리			－	75	단일	±0	×	상대를 「혼란」 상태로 한다．					－	－	18
초롱초롱눈동자	변화	페어리			－	100	단일	＋1	×	「공격－1」					－	－	18
초승달베기	물리	페어리			100	50	단일	±0	○	「칼/검」 기술．2회 「연속」 기술．	칼/검	연속			공격	방어	18
치근거리기	물리	페어리			90	90	단일	±0	○	「1할：공격－1」					공격	방어	18
카미카쿠시	변화	페어리			－	100	단일	＋1	×	「강제교대」 기술．「필드에 나온 후 최초」가 아니면 실패한다．		최초	강제교대		－	－	18
쿠사나기의검	물리	페어리			150	90	전체	－5	×	「칼/검」 기술．「강제교대」 기술．	칼/검		강제교대		공격	방어	18
토끼뜀	물리	페어리			70	100	단일	±0	○	「유턴」 기술．			유턴		공격	방어	18
트릭가드	변화	페어리			－	－	자진	±0	×	「방어」 기술．상대의 「변화」 기술을 「방어」한다．	방어				－	－	18
파멸의빛	특수	페어리			140	90	단일	±0	×	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	18
페어리록	변화	페어리			－	－	단일	±0	×	2T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			－	－	18
페어리테일	물리	페어리			90	90	단일	±0	○	「2할：풀죽음」					공격	방어	18
플라워가드	변화	페어리			－	－	필드	±0	×	필드의 「풀」 타입 전원의 「방어＋1」					－	－	18
플라워힐	변화	페어리			－	－	자신	±0	×	HP를 1/2만큼 회복한다．전체 필드가 「그래스필드」 상태일 때，회복량이 강화（2/3）된다．		회복			－	－	18
플뢰르캐논	특수	페어리			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	18
피범벅도끼	물리	페어리			150	80	단일	±0	×	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	18
허무의마법	특수	페어리			180	95	전체	±0	×	「마법」 기술．명중 후，자신의 「방어/특방/속도－1」	마법				특공	특방	18
미원물질	물리	다크			200	100	전체	±0	×	추가효과 없음．					공격	방어	19
암흑포	특수	다크			150	－	전체	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．		필중	추격		특공	특방	19
암흑폭탄	물리	다크			150	－	전체	±0	×	상대의 「방어」 기술을 관통한다．		방어관통 필중			공격	방어	19
대지의파동	특수	???	노말		50	100	단일	±0	×	「파동」 기술．「필드」에 따라 타입과 위력이 변화한다．	파동	타입변화			특공	특방	20
레이징불	물리	???	노말		90	100	단일	±0	○	자신의 폼에 따라 기술의 타입이 변화한다．적진의 「벽」을 해제한 후 기술을 내보낸다．		깨트리기 타입변화			공격	방어	20
룬창（1P）	물리	???	노말		90	100	단일	±0	×	「창」 기술．자신의 「타입1」과 같은 타입이 된다．	창	타입변화			공격	방어	20
룬창（2P）	물리	???	악		90	100	단일	±0	×	「창」 기술．자신의 「타입1」과 같은 타입이 된다．	창	타입변화			공격	방어	20
멀티어택（1P）	물리	???	노말		90	100	단일	±0	○	자신이 지니고 있는 메모리에 따라 기술의 타입이 변화한다．		타입변화			공격	방어	20
멀티어택（2P）	물리	???	노말		90	100	단일	±0	○	자신이 지니고 있는 메모리에 따라 기술의 타입이 변화한다．		타입변화			공격	방어	20
발버둥	물리	???	???		50	－	단일	±0	○	HP의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	20
배의뭉치（1P）	특수	???	풀		80	80	단일	±0	×	지니고 있는 「나무열매」를 사용해 내보낸다．사용한 「나무열매」에 따라 타입과 위력이 변화한다．「나무열매」가 없으면 실패한다．		타입변화			특공	특방	20
배의뭉치（2P）	특수	???	풀		80	80	단일	±0	×	지니고 있는 「나무열매」를 사용해 내보낸다．사용한 「나무열매」에 따라 타입과 위력이 변화한다．「나무열매」가 없으면 실패한다．		타입변화			특공	특방	20
색즉시공（1P）	특수	???	노말		100	100	단일	±0	×	자신의 「타입1」과 같은 타입이 된다．		타입변화			특공	특방	20
색즉시공（2P）	특수	???	악		100	100	단일	±0	×	자신의 「타입1」과 같은 타입이 된다．		타입변화			특공	특방	20
세븐스소드	물리	???	???		70	－	단일	±0	○	「칼/검」 기술．습득 개체에 따라 타입이 변화한다．	칼/검	타입변화 필중			공격	방어	20
심판의뭉치（1P）	특수	???	노말		100	100	단일	±0	×	자신이 지니고 있는 플레이트에 따라 타입이 변화한다．		타입변화			특공	특방	20
심판의뭉치（2P）	특수	???	노말		100	100	단일	±0	×	자신이 지니고 있는 플레이트에 따라 타입이 변화한다．		타입변화			특공	특방	20
아라가미탄	특수	???	???		150	－	단일	±0	×	「파동」「탄」 기술．상대의 「방어」 기술을 관통한다．	탄/볼 파동	방어관통			특공	특방	20
완철구슬（1P）	특수	???	노말		150	－	단일	±0	×	「탄/볼」 기술．상대의 「방어」 기술을 관통한다．자신의 「타입1」과 같은 타입이 된다．	탄/볼	방어관통 타입변화 필중			특공	특방	20
완철구슬（2P）	특수	???	악		150	－	단일	±0	×	「탄/볼」 기술．상대의 「방어」 기술을 관통한다．자신의 「타입1」과 같은 타입이 된다．	탄/볼	방어관통 타입변화 필중			특공	특방	20
웨더볼	특수	???	노말		50	100	단일	±0	×	「탄/볼」 기술．날씨에 따라 타입과 위력이 변화한다．	탄/볼	타입변화			특공	특방	20
자연의은혜（1P）	물리	???	노말		80	100	단일	±0	×	지니고 있는 「나무열매」를 사용해 내보낸다．사용한 「나무열매」에 따라 타입과 위력이 변화한다．「나무열매」가 없으면 실패한다．		타입변화			공격	방어	20
자연의은혜（2P）	물리	???	노말		80	100	단일	±0	×	지니고 있는 「나무열매」를 사용해 내보낸다．사용한 「나무열매」에 따라 타입과 위력이 변화한다．「나무열매」가 없으면 실패한다．		타입변화			공격	방어	20
